Round   1 : 2 of clubs 	7 of hearts 	2 of hearts 	5 of hearts 	
Round   27 : 9 of diamonds 	7 of clubs 	A of clubs 	8 of spades 	
Round   28 : 7 of hearts 	4 of diamonds 	9 of diamonds 	10 of hearts 	
Round   29 : 8 of clubs 	6 of spades 	8 of spades 	9 of clubs 	
Round   30 : 7 of spades 	9 of hearts 	9 of clubs 	10 of diamonds 	
Round   31 : A of spades 	J of spades 	8 of spades 	10 of diamonds 	
Round   32 : 6 of spades 	J of hearts 	A of hearts 	7 of spades 	
Round   33 : 4 of clubs 	5 of spades 	9 of spades 	Q of spades 	
Round   34 : A of diamonds 	4 of clubs 	A of spades 	K of hearts 	
Round   35 : A of hearts 	10 of hearts 	9 of clubs 	9 of diamonds 	
Round   36 : Q of diamonds 	3 of diamonds 	5 of spades 	6 of clubs 	
Round   37 : 7 of hearts 	Q of spades 	4 of diamonds 	3 of spades 	
Round   38 : 2 of clubs 	7 of diamonds 	5 of diamonds 	4 of diamonds 	
Round   39 : 5 of hearts 	K of hearts 	2 of diamonds 	A of clubs 	
Round   40 : 5 of diamonds 	A of hearts 	2 of spades 	5 of hearts 	
Round   41 : 10 of clubs 	8 of diamonds 	5 of clubs 	9 of spades 	
Round   42 : 2 of spades 	5 of hearts 	9 of diamonds 	8 of hearts 	
Round   43 : 6 of spades 	8 of hearts 	3 of clubs 	7 of hearts 	
Round   44 : 10 of diamonds 	2 of spades 	2 of hearts 	J of hearts 	
Round   45 : J of spades 	5 of clubs 	10 of hearts 	7 of spades 	
Round   46 : 6 of clubs 	10 of clubs 	7 of clubs 	6 of diamonds 	
Round   47 : 9 of clubs 	J of spades 	Q of clubs 	2 of diamonds 	
Round   48 : Q of clubs 	Q of spades 	3 of clubs 	9 of spades 	
Round   49 : 3 of hearts 	J of clubs 	Q of hearts 	K of diamonds 	
Round   50 : Q of spades 	4 of clubs 	7 of clubs 	J of diamonds 	
Round   51 : 3 of diamonds 	4 of hearts 	5 of clubs 	Q of diamonds 	
Round   52 : 9 of diamonds 	3 of diamonds 	9 of spades 	A of hearts 	
Round   53 : 7 of spades 	7 of hearts 	4 of clubs 	Q of clubs 	
Round   54 : 8 of diamonds 	4 of spades 	7 of hearts 	8 of clubs 	
Round   55 : 9 of diamonds 	J of diamonds 	4 of clubs 	10 of diamonds 	
Round   56 : 7 of diamonds 	8 of hearts 	10 of diamonds 	4 of hearts 	
Round   57 : 5 of hearts 	4 of hearts 	9 of diamonds 	5 of diamonds 	
Round   58 : 6 of clubs 	2 of spades 	J of hearts 	3 of diamonds 	
Round   59 : 4 of clubs 	6 of hearts 	4 of spades 	Q of diamonds 	
Round   60 : 3 of diamonds 	Q of spades 	6 of spades 	3 of hearts 	
Round   61 : 5 of diamonds 	3 of diamonds 	9 of spades 	10 of diamonds 	
Round   62 : 7 of diamonds 	8 of hearts 	5 of spades 	9 of spades 	
Round   63 : Q of spades 	7 of spades 	3 of clubs 	2 of clubs 	
Round   64 : 2 of diamonds 	4 of diamonds 	3 of spades 	4 of clubs 	
Round   65 : Q of hearts 	3 of spades 	3 of clubs 	J of diamonds 	
Round   66 : K of hearts 	Q of clubs 	7 of spades 	6 of hearts 	
Round   67 : 2 of spades 	4 of spades 	K of diamonds 	5 of spades 	
Round   68 : 3 of clubs 	9 of hearts 	4 of spades 	3 of diamonds 	
Round   69 : 4 of hearts 	2 of spades 	8 of spades 	9 of diamonds 	
Round   70 : 4 of diamonds 	Q of hearts 	7 of spades 	4 of spades 	
Round   71 : 3 of hearts 	4 of spades 	A of hearts 	7 of spades 	
Round   72 : 8 of hearts 	A of hearts 	4 of clubs 	3 of clubs 	
Round   73 : 5 of hearts 	K of clubs 	7 of hearts 	A of clubs 	
Round   74 : K of diamonds 	J of spades 	Q of hearts 	7 of clubs 	
Round   75 : J of clubs 	8 of spades 	6 of hearts 	J of spades 	
Round   76 : 6 of diamonds 	8 of clubs 	4 of spades 	K of spades 	
Round   77 : A of spades 	8 of spades 	4 of diamonds 	9 of diamonds 	
Round   78 : K of spades 	4 of clubs 	4 of diamonds 	7 of clubs 	
Round   79 : 6 of hearts 	6 of diamonds 	7 of clubs 	Q of clubs 	
Round   80 : 2 of hearts 	J of diamonds 	6 of spades 	7 of diamonds 	
Round   81 : J of diamonds 	2 of hearts 	6 of spades 	2 of spades 	
Round   82 : 9 of spades 	8 of hearts 	9 of diamonds 	Q of hearts 	
Round   83 : A of hearts 	9 of hearts 	10 of hearts 	7 of clubs 	
Round   84 : A of diamonds 	5 of diamonds 	J of diamonds 	9 of clubs 	
Round   85 : J of diamonds 	A of diamonds 	A of spades 	6 of hearts 	
Round   86 : 2 of clubs 	2 of hearts 	9 of clubs 	3 of hearts 	
Round   87 : 7 of clubs 	3 of clubs 	5 of hearts 	7 of diamonds 	
Round   88 : 3 of diamonds 	9 of spades 	2 of clubs 	8 of spades 	
Round   89 : 8 of clubs 	6 of diamonds 	10 of hearts 	9 of hearts 	
Round   90 : K of clubs 	10 of diamonds 	6 of diamonds 	K of spades 	
Round   91 : 2 of hearts 	6 of clubs 	3 of clubs 	4 of diamonds 	
Round   92 : 2 of clubs 	10 of hearts 	Q of diamonds 	10 of spades 	
Round   93 : 8 of hearts 	10 of hearts 	3 of spades 	10 of clubs 	
Round   94 : 2 of hearts 	K of hearts 	K of diamonds 	8 of hearts 	
Round   95 : 10 of hearts 	3 of hearts 	J of clubs 	6 of clubs 	
Round   96 : 4 of diamonds 	K of clubs 	10 of hearts 	J of hearts 	
Round   97 : Q of diamonds 	K of clubs 	5 of hearts 	2 of hearts 	
Round   98 : 10 of clubs 	9 of hearts 	Q of spades 	K of hearts 	
Round   99 : 9 of clubs 	Q of hearts 	4 of clubs 	6 of diamonds 	
Round   100 : 7 of diamonds 	7 of hearts 	3 of spades 	J of diamonds 	
Round   101 : K of diamonds 	2 of hearts 	4 of spades 	J of hearts 	
Round   102 : 4 of hearts 	7 of clubs 	6 of spades 	K of clubs 	
Round   103 : K of diamonds 	2 of spades 	K of spades 	7 of spades 	
Round   104 : 8 of spades 	10 of spades 	Q of clubs 	6 of spades 	
Round   105 : 9 of spades 	3 of clubs 	7 of diamonds 	4 of clubs 	
Round   106 : 10 of spades 	5 of spades 	8 of hearts 	Q of spades 	
Round   107 : 10 of spades 	5 of spades 	3 of hearts 	A of diamonds 	
Round   108 : 2 of spades 	7 of diamonds 	5 of spades 	7 of hearts 	
Round   109 : 3 of hearts 	K of clubs 	J of clubs 	10 of hearts 	
Round   110 : J of clubs 	10 of diamonds 	7 of diamonds 	3 of diamonds 	
Round   111 : 6 of hearts 	3 of clubs 	4 of diamonds 	7 of diamonds 	
Round   112 : K of clubs 	4 of hearts 	2 of clubs 	7 of diamonds 	
Round   113 : 10 of spades 	9 of diamonds 	7 of clubs 	8 of hearts 	
Round   114 : 2 of hearts 	8 of clubs 	10 of hearts 	3 of spades 	
Round   115 : 9 of spades 	K of hearts 	9 of hearts 	A of clubs 	
Round   116 : 9 of spades 	A of spades 	10 of diamonds 	8 of spades 	
Round   117 : 10 of clubs 	6 of diamonds 	4 of diamonds 	2 of diamonds 	
Round   118 : 5 of hearts 	9 of hearts 	5 of clubs 	A of spades 	
Round   119 : A of spades 	2 of diamonds 	10 of spades 	4 of diamonds 	
Round   120 : 3 of diamonds 	2 of spades 	8 of hearts 	4 of spades 	
Round   121 : Q of diamonds 	9 of clubs 	5 of spades 	7 of clubs 	
Round   122 : 10 of spades 	2 of diamonds 	8 of hearts 	8 of spades 	
Round   123 : 6 of diamonds 	Q of spades 	A of diamonds 	10 of spades 	
Round   124 : A of diamonds 	10 of clubs 	8 of spades 	10 of diamonds 	
Round   125 : 2 of clubs 	K of diamonds 	8 of clubs 	2 of diamonds 	
Round   126 : 4 of diamonds 	8 of hearts 	J of diamonds 	6 of diamonds 	
Round   127 : J of hearts 	6 of hearts 	6 of spades 	2 of clubs 	
Round   128 : K of diamonds 	5 of hearts 	A of diamonds 	5 of clubs 	
Round   129 : K of diamonds 	9 of clubs 	8 of spades 	3 of diamonds 	
Round   130 : 8 of hearts 	10 of diamonds 	5 of hearts 	8 of diamonds 	
Round   131 : Q of clubs 	3 of hearts 	A of clubs 	2 of diamonds 	
Round   132 : 6 of spades 	Q of hearts 	6 of hearts 	J of diamonds 	
Round   133 : 3 of spades 	4 of spades 	J of clubs 	A of clubs 	
Round   134 : A of diamonds 	6 of hearts 	Q of hearts 	A of spades 	
Round   135 : 9 of hearts 	10 of diamonds 	6 of diamonds 	Q of diamonds 	
Round   136 : 3 of clubs 	10 of clubs 	6 of clubs 	7 of spades 	
Round   137 : K of diamonds 	6 of spades 	3 of diamonds 	5 of spades 	
Round   138 : A of hearts 	Q of clubs 	10 of clubs 	9 of diamonds 	
Round   139 : 5 of hearts 	A of diamonds 	8 of diamonds 	A of clubs 	
Round   140 : 3 of diamonds 	7 of spades 	4 of spades 	7 of hearts 	
Round   141 : 5 of hearts 	A of hearts 	K of clubs 	4 of clubs 	
Round   142 : 9 of clubs 	5 of diamonds 	7 of diamonds 	Q of hearts 	
Round   143 : A of diamonds 	4 of diamonds 	Q of spades 	A of hearts 	
Round   144 : 9 of spades 	2 of hearts 	9 of hearts 	J of spades 	
Round   145 : A of diamonds 	2 of spades 	5 of spades 	A of hearts 	
Round   146 : J of hearts 	2 of hearts 	A of diamonds 	J of diamonds 	
Round   147 : 10 of clubs 	Q of clubs 	Q of spades 	8 of clubs 	
Round   148 : 4 of hearts 	Q of spades 	K of spades 	A of clubs 	
Round   149 : 2 of clubs 	5 of hearts 	Q of diamonds 	J of hearts 	
Round   150 : 9 of spades 	6 of spades 	7 of hearts 	4 of clubs 	
Round   151 : 10 of hearts 	2 of diamonds 	J of clubs 	9 of clubs 	
Round   152 : 2 of diamonds 	3 of clubs 	9 of clubs 	10 of spades 	
Round   153 : A of diamonds 	6 of hearts 	9 of hearts 	Q of hearts 	
Round   154 : 2 of spades 	2 of diamonds 	4 of diamonds 	3 of spades 	
Round   155 : J of diamonds 	6 of hearts 	10 of diamonds 	2 of clubs 	
Round   156 : 8 of diamonds 	Q of hearts 	2 of hearts 	5 of clubs 	
Round   157 : J of hearts 	10 of spades 	K of clubs 	8 of spades 	
Round   158 : 2 of hearts 	A of hearts 	A of clubs 	6 of clubs 	
Round   159 : 10 of hearts 	J of spades 	A of clubs 	J of hearts 	
Round   160 : K of clubs 	9 of spades 	Q of spades 	8 of hearts 	
Round   161 : 5 of hearts 	9 of clubs 	K of diamonds 	5 of clubs 	
Round   162 : 3 of clubs 	6 of hearts 	J of hearts 	Q of hearts 	
Round   163 : 2 of diamonds 	A of diamonds 	5 of diamonds 	8 of hearts 	
Round   164 : 3 of clubs 	J of diamonds 	2 of spades 	7 of clubs 	
Round   165 : 6 of hearts 	J of clubs 	5 of clubs 	3 of hearts 	
Round   166 : Q of diamonds 	2 of spades 	2 of diamonds 	4 of clubs 	
Round   167 : 2 of spades 	2 of hearts 	J of clubs 	3 of clubs 	
Round   168 : K of diamonds 	A of spades 	J of hearts 	6 of diamonds 	
Round   169 : 6 of hearts 	Q of diamonds 	4 of hearts 	4 of clubs 	
Round   170 : A of clubs 	5 of diamonds 	8 of clubs 	3 of clubs 	
Round   171 : 4 of diamonds 	7 of diamonds 	3 of diamonds 	9 of diamonds 	
